# Generated from CC-CEDICT. Do not edit manually.
# direction<TAB>key<TAB>candidate...
e	a national policy	國策
e	a natural stronghold	天險
e	a naval escort	護航
e	a neglected branch	冷門
e	a network computer game	聯機遊戲
e	a new shift	瓜代
e	a new year begins	一元復始
e	a news service	通訊社
e	a night march	夜行軍
e	a noble steed	驁
e	a nobody	小人物	小卒	平庸之輩	無名小卒
e	a noise	咾	籟
e	a nonentity	平庸之輩
e	a nonnegative number	非負數
e	a nonpositive number	非正數
e	a noose	套結	活結	繩索套
e	a north indian language	北印度語
e	a notice	啟事
e	a nuclear power	核大國
e	a nuisance	受罪
e	a nuisance to sb	累贅
e	a number of	一個個
e	a one-person exhibition	個展
e	a one-piece dress	連衣裙
e	a pace	步
e	a pack of lies	一派謊言	彌天大謊
e	a pair	耦
e	a palanquin	竹輿
e	a pandora's box	潘多拉魔盒
e	a panoramic view	一覽無餘
e	a paradox	弔詭
e	a paragon	無敵
e	a parisitoid wasp	金小蜂
e	a parody	戲仿
e	a particle collider	對撞機
e	a particular year	年頭
e	a partner in crime	同謀
e	a party	一方
e	a pass	票證	通行證
e	a passer-by	過路人
e	a pastiche	擬作	擬古之作
e	a pathogen	病原菌
e	a patient	患病者
e	a pawn	棋子
e	a peal	一陣
e	a peg	楬	橛	銷子
e	a pen	阹
e	a pendant	吊墜
e	a pendulum	擺
e	a period of time	一時	期
e	a person in distress	受難者
e	a person of foresight	先知	先知先覺
e	a person strolling about	漫步者
e	a person's age	春秋
e	a person's appearance	體表
e	a person's clothing	行頭
e	a person's preferences	口味
e	a person's repulsive appearance	屄樣兒
e	a person's status	名分
e	a petty advantage	便宜
e	a philanderer	輕薄
e	a photocopy	影印本
e	a photographic plate	照片底版
e	a piano key	琴鍵
e	a pick	鎬
e	a piece of cake	小case	拾芥
e	a piece of gossip	瓜
e	a pier	棧橋
e	a pile	摞
e	a pile of junk	廢銅爛鐵
e	a pilgrimage	朝拜
e	a pill or tablet	藥片
e	a pillar	樘
e	a pin	銷子
e	a place behind sb	身後
e	a plain	坪
e	a plan	平面圖
e	a planar graph	平面圖
e	a plane figure	平面圖
e	a plane wave	平面波
e	a plank road	棧徑
e	a planned activity	節目
e	a plant	株
e	a plateful	滿盤
e	a platform	棧橋	講壇
e	a player	局中人
e	a playoff	季後賽
e	a plea	抗辯
e	a pleasant change	耳目一新
e	a plug or cork	椊
e	a poached egg	臥果兒
e	a poem	詩篇
e	a point	一點	分
e	a poison	毒劑
